country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,0.47,,,0.51,,,,,,,0.68,,,0.64,0.6,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1,,,,38.6,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,5.06,,,,,,,,,,,,36.2,,,,,,48.3,50.7,,,44.1,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27,,2.89,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,67.2,68.4,70.3,69.7,70.8,72.1,71.8,72.2,57.7,58.1,58.5,58.5,58,36.6,44.6,44,42.1,45.4,46,44,42.7,41.3,,38.2
Netherlands Antilles,,,,,,,,1.06,0.89,,0.43,,,0.44,0.76,0.76,0.72,0.29,,0.82,0.73,0.6,0.57,0.7,0.6,0.77,0.75,0.91,1.06,,1.08,,0.88,0.92,0.87,0.91,1.05,1.21,1.13,0.83,,0.69,,0.22,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,,,,,7.89,,,,,4.9,,,4.25,,,,,,,,0.14,0.91
Argentina,,,,,,,,,,,,,0.12,0.27,0.26,,,,,,0.35,0.34,0.4,0.45,0.45,0.62,0.76,0.79,0.76,0.74,0.67,0.83,0.98,1.39,1.49,1.28,1.05,,1.19,1.22,3.36,2.99,3.04,2.44,2.04,,,0.06
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,36.5,44.2,39.5,38.6,38.9,37.3,36.3,34.8,35.3,33.6,
American Samoa,,,,,,,,,,,,,,,,,,,,,2.44,,,,,,,,,,3.09,,,,,,,,,,3.02,,,,,,,
Antigua and Barbuda,,,,11.3,11.4,11.9,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,2.81,2.81,2.81,2.81,2.81,2.8,2.8,,,,,,,,,
Australia,8.04,7.48,7.88,7.37,6.91,6.81,6.52,6.68,6.24,6.56,6.48,6.48,6.42,6.6,6.2,6.14,6.1,5.79,5.85,5.51,5.56,5.46,5.28,5.31,5.08,4.94,5,5.09,4.88,4.92,4.86,4.75,4.38,3.91,3.74,3.58,3.43,3.35,3.31,3.23,3.23,2.82,2.8,2.62,2.8,2.64,2.63,2.59
