country,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,0.104959449,0.112959805,0.133951339,0.187935118,0.192886457,0.228862126,0.274813465,0.297805354,0.349854016,0.333894882,0.256886457,0.455894335,0.516807172,0.417687639,0.446393613,0.522199565,0.579043569,0.540715157,0.650787391,0.58777766,0.609484959,0.479384834,0.540043435,0.571756617,0.687776852,0.770204683,0.955723751,0.855374597,0.849994627,0.779880851,0.754769428,0.710490721,0.662490721,0.376490721,0.363825055,0.34978232,0.335825055,0.317936681,0.295886176,0.28088349,0.220936681,0.20678821,0.217784389,0.28701119,0.323676583,0.242676583,0.355695142,0.44633675,0.619160841,1.146159934,1.8395131,2.291970251,3.303981441,2.788895742,2.303702511,2.121817686,2.157241539,1.840782751,1.87222298,2.852801954,2.925854712
Albania,0.394,0.552,0.622,0.672,0.568,0.55,0.593,0.696,0.731,0.838,0.885,1.021,1.187,1.539,1.443,1.185,1.253,1.35,1.56,1.771,2.069,1.41,2.002,1.993,2.081,2.134,2.149,2.197,2.03,1.998,2.45,1.486,1.154,0.681,0.632,0.522,0.564,0.544,0.418,0.476,0.812,0.82,0.879,1.023,1.155,1.12,1.146,1.049,1.045,1.166,1.161,1.214,1.373,1.274,1.345,1.534,1.237,1.227,1.475,1.474617697,1.522656836
Algeria,1.543945669,1.678832126,1.652816621,1.545035506,1.479026772,1.540132205,1.798180411,2.298270079,2.301197435,2.470042605,3.07395412,4.10997811,5.089937559,7.72997811,10.4468889,8.69996189,8.733953899,10.67987731,11.4205549,17.04565133,12.43055446,18.12676513,12.64792087,10.69132894,14.32966952,19.36313598,19.81688549,20.76429809,22.89396894,22.84608108,21.78173199,20.94340617,21.50801089,21.80179336,22.36420317,23.51164679,25.9230243,26.41542576,23.74572749,29.09957155,25.01853364,23.86536102,22.86590437,24.40139772,24.84939778,23.97737513,29.05927675,27.34747859,29.58514552,29.75759889,32.8018188,32.15449854,32.69838409,34.96450723,36.14482267,39.08864827,41.16201112,40.62201112,41.88001112,44.84423994,46.86327543
Andorra,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.111,0.111,0.111,0.112,0.111,0.116,0.124,0.127,0.134,0.14,0.143,0.143,0.145,0.146,0.153,0.157,0.149,0.147,0.147,0.141,0.141,0.134,0.133,0.13,0.126,0.127,0.128,0.127,0.126694874,0.128410172
Angola,0.168829685,0.149822756,0.1238283,0.321814042,0.313789134,0.333764803,0.323732362,0.423708031,0.270691811,0.455660115,0.759577712,0.976505781,0.92941669,1.22831119,1.330148425,1.328165274,1.203278189,0.895208053,0.962748627,1.473746751,1.498141652,1.455881997,1.437438323,1.265059654,1.392067365,1.360766087,1.276232053,1.264694187,1.579156322,1.378085626,1.343545235,1.388836256,1.381792551,1.409673575,1.568881927,1.055020619,2.988074028,2.845203343,2.005417317,1.984062711,2.491751581,2.596905273,2.63960668,3.438194609,2.453157165,5.104239013,5.187344321,6.032316346,6.816622374,6.95578724,7.523336072,7.877858179,8.277757083,9.225044781,9.068914119,12.07664468,9.273751247,9.309756503,10.2267565,10.28346195,10.37671853
Anguilla,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014,0.014,0.015,0.018,0.018,0.018,0.019,0.019,0.021,0.022,0.024,0.026,0.026,0.028,0.033,0.035,0.039,0.041,0.041,0.04,0.041,0.039,0.039,0.032,0.038,0.042,0.042,0.039,0.040159544,0.039108393
Antigua and Barbuda,0.008,0.01,0.013,0.028,0.023,0.025,0.041,0.095,0.154,0.27,0.343,0.126,0.116,0.102,0.09,0.117,0.193,0.11,0.127,0.134,0.111,0.039,0.029,0.08,0.023,0.04,0.068,0.068,0.075,0.078,0.078,0.06,0.058,0.057,0.059,0.059,0.061,0.065,0.07,0.074,0.077,0.08,0.081,0.09,0.096,0.1,0.102,0.105,0.111,0.114,0.121,0.124,0.121,0.125,0.126,0.126,0.131,0.134,0.134,0.137984074,0.134372428
Argentina,13.3593885,13.30908843,13.95379646,14.63977213,13.65520197,15.19378856,16.0493585,17.21415575,17.87008232,18.83439339,21.08320685,22.5567689,24.24868625,24.58153764,25.64849051,26.05911644,25.88585285,27.2105658,27.48534586,27.99020823,30.19016684,29.65526065,27.83005068,28.20738045,28.69617905,29.05362005,27.43775694,28.42548926,31.35326073,33.13479255,31.93813019,30.58927074,32.07034498,33.08694978,32.14451009,33.35944385,34.87032167,36.78004104,37.56590175,38.06001528,40.19790687,38.85326072,36.57312882,33.94987663,36.74427074,42.86118757,44.0595524,47.65529258,47.55615721,51.3389738,48.83984716,50.96428384,51.9306151,52.3239214,51.89729605,51.50038371,52.50154367,52.1096179,51.15063975,50.49942602,48.83721239
Armenia,1.912034585,1.990757896,2.053017558,2.15474996,2.310811704,2.457536376,2.606993498,2.753144214,2.878818614,2.959691704,3.082313869,3.242029259,3.441543063,3.622146171,3.776382757,3.921506876,4.123451717,4.283053186,4.429621339,4.582298207,4.620774051,4.803443392,4.713270849,4.802622046,4.872181093,4.91667227,5.30272572,5.318312195,5.298393638,5.44091906,5.320981531,4.970506755,5.163765845,1.599304512,0.702409712,0.740924729,0.936756504,0.70762578,0.891441467,0.927031015,0.831910744,0.952894924,0.96416512,0.839736166,0.943111354,1.007422762,1.194369269,1.201307314,1.391978679,1.521503821,1.190865721,1.160685044,1.356134825,1.56884607,1.510645197,1.517441657,1.384379592,1.407955956,1.496955956,1.718505182,1.639172184
Aruba,0.196334852,0.168821185,0.176187927,0.19348861,0.185340547,0.18020615,0.161677677,0.151185649,0.186233485,0.17317426,0.226638952,0.253482916,0.220611617,0.213914579,0.237298405,0.21508656,0.155761959,0.332731207,0.173788155,0.148004556,0.155259681,0.159780182,0.152190205,0.170160592,0.087452164,0.218379271,0.255603645,0.049,0.122,0.167,0.177,0.133,0.145,0.147,0.177,0.18,0.193,0.198,0.207,0.22,0.221,0.649,0.657,0.665,0.699,0.714,0.742,0.741,0.77,0.725,0.717,0.684,0.682,0.368,0.235,0.238,0.245,0.241,0.25,0.257432973,0.250694828
