country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Angola,,,,,,,,,,,,9120,10.5k,11.7k,12.1k,11.4k,11.2k,10.7k,10.2k,11k,11.3k,10.3k,10.4k,12.9k,14.3k,15.7k,18.3k,22.3k,27.1k,27.2k,28.6k,30k,32.8k,30.5k,33k,36.4k,39.8k,41.6k,43k,43.5k,43.7k,43.5k,51.4k,51.4k,57.6k,70.9k,80k,95k,106k,101k,
Albania,,,,,,,,,,,,2420,2960,3000,2710,2910,3080,3170,3480,3390,3430,2690,2650,2810,3010,2810,3000,2900,2890,2900,2450,1920,1400,1330,1280,1240,1330,1100,1090,1070,986,883,959,1050,1150,1170,1190,1060,1150,1250,
United Arab Emirates,,,,,,,,,,,,52.8k,59.8k,76.1k,83.3k,84.4k,97k,101k,94.6k,95.4k,90.2k,82.5k,71k,66.2k,64.3k,63.4k,73.2k,80.1k,83.7k,101k,110k,127k,134k,131k,134k,137k,142k,147k,151k,143k,156k,152k,149k,163k,171k,174k,185k,186k,187k,169k,
Argentina,,,,,,,,,,,,30.6k,31k,30.5k,30.9k,30.6k,31k,32.7k,33.9k,36.4k,38.8k,39.5k,40k,42k,42.9k,42.6k,42.9k,43.3k,46.3k,47.2k,48.4k,50.2k,54.3k,57k,62.4k,66.9k,72k,77.5k,79.7k,80.1k,82.3k,84.5k,81.3k,84.3k,87.1k,84.7k,86.2k,82.9k,82.9k,80.8k,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,135,263,370,303,245,742,539,547,646,632,602,738,692,746,861,846,826,797,825,
Australia,21.3k,22.5k,22.9k,23.6k,25.4k,28.3k,29.6k,31.2k,35.3k,38.7k,47.7k,53.9k,62.4k,68k,67.5k,75k,75.3k,82.3k,81.6k,86.5k,85.4k,97.2k,98.6k,107k,118k,128k,137k,149k,137k,145k,158k,167k,172k,175k,174k,187k,190k,201k,217k,214k,234k,254k,264k,264k,269k,280k,282k,299k,301k,311k,324k
Austria,7360,7120,7290,7750,7700,8000,8150,7790,7560,7360,7950,7370,7330,7920,7820,7810,7240,7670,7830,8010,7630,7410,7490,7300,7350,7560,7660,8060,9190,8620,8110,8350,8560,8770,8400,8740,8630,8710,8880,9720,9780,9780,9820,9600,9900,10.1k,10.1k,10.9k,11.2k,11.4k,11.2k
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6k,19k,18.1k,16.4k,14.9k,14.7k,14.4k,14.1k,16.3k,19k,19k,19.6k,19.8k,19.8k,20.1k,27.2k,38.1k,52.1k,58.6k,64.6k,
Belgium,14k,13.4k,13.2k,13.4k,13.3k,12.3k,10.9k,10.3k,9270,8260,7120,6850,6570,6510,6160,7970,8680,9060,8280,7620,8090,8180,9070,10.9k,12.1k,14k,14.7k,14.5k,13.4k,13k,13.1k,13k,12.7k,12.1k,11.6k,11.9k,12.4k,13.4k,13.1k,13.9k,13.7k,13.3k,13.5k,13.7k,13.8k,13.9k,13.8k,14.4k,14.5k,15.3k,15.3k
Benin,,,,,,,,,,,,1000,1020,1040,1060,1090,1110,1130,1160,1180,1210,1460,1500,1330,1340,1700,1780,1760,1730,1720,1770,1800,1780,1840,1850,1850,1920,1890,1850,1790,1450,1490,1550,1580,1620,1670,1830,1890,1940,2000,
