country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United Arab Emirates,698k,1.23M,1.25M,1.45M,1.46M,1.39M,1.63M,3.27M,4.79M,5.12M,6.3M,7.43M,7.96M,7.01M,9.22M,11.1M,12.8M,14.2M,14.6M,17.1M,16.9M,20M,18.6M,19.3M,21.6M,26.3M,28.3M,30.4M,31.1M,32.3M,32.2M,33M,36.4M,37.5M,38.8M,40.1M,40.9M,42.2M,42.1M,40.9M,43M,43.9M,45.5M,45.8M,45.5M,50.5M,51.9M,53.6M,52.8M,53.8M
Argentina,5.03M,5.44M,5.17M,5.63M,6.06M,6.43M,6.13M,6.33M,6.53M,6.05M,7.02M,7.3M,8.19M,11M,11.3M,11.6M,13M,12.7M,15M,15.9M,14.9M,16.7M,16.8M,18M,18.6M,20.9M,24.2M,22.9M,24.7M,28.9M,31.3M,31.1M,30.2M,34.3M,37.5M,38.2M,38.5M,37.5M,36.8M,34.7M,33.5M,32.4M,31.5M,29.7M,29.7M,30.5M,32.1M,31.9M,33.9M,35.8M
Australia,1.49M,2.22M,3.19M,4.05M,4.62M,4.96M,5.85M,6.69M,7.2M,8.29M,9.52M,10.3M,10.1M,10.9M,10.8M,11.5M,12.6M,12.8M,13.2M,15.2M,17.7M,18.6M,20.1M,21M,24.1M,25.4M,25.5M,25.5M,26M,26.4M,26.8M,28.1M,28.4M,29M,30.9M,32.9M,35M,36.8M,35.8M,40.2M,46.4M,47.9M,51.2M,53.1M,57.3M,65.4M,82.9M,97M,112M,132M
Azerbaijan,,,,,,,,,,,,,,,,11.8M,11.4M,10.5M,9.98M,9.3M,8.3M,7.21M,6.62M,5.7M,5.37M,5.53M,4.93M,4.69M,4.38M,4.69M,4.42M,4.34M,4.02M,4.01M,3.91M,4.81M,5.67M,9.08M,13.7M,13.7M,14M,13.7M,14.5M,15M,15.8M,16.2M,15.7M,15.3M,16.4M,20.9M
Bangladesh,0,0,378k,523k,575k,578k,761k,849k,937k,1.08M,1.21M,1.17M,1.52M,1.69M,1.95M,2.22M,2.5M,2.94M,3.46M,3.65M,3.93M,4.05M,4.42M,4.94M,5.24M,5.8M,6.22M,6.12M,6.61M,7.21M,7.79M,8.72M,9.18M,9.87M,10.6M,11.4M,12.4M,13.2M,14.1M,16.1M,16.6M,16.8M,18.3M,18.9M,19.8M,22.2M,22.7M,22.9M,22.9M,24.7M
Bahrain,559k,815k,1.02M,1.44M,1.78M,1.87M,1.96M,2.13M,2.34M,2.59M,2.1M,1.95M,3.08M,3.23M,3.33M,4.06M,4.65M,4.51M,4.8M,4.99M,5.22M,4.98M,5.82M,6.23M,6.38M,6.49M,6.68M,7.17M,7.54M,7.8M,7.89M,8.21M,8.51M,8.66M,7.97M,8.75M,9.25M,9.63M,10.3M,10.4M,10.7M,10.9M,11.2M,12M,12.6M,12.7M,12.4M,12.4M,12.6M,14.5M
Bolivia,36k,36k,960k,1.48M,1.55M,1.53M,1.57M,1.66M,1.64M,1.79M,2.19M,2.34M,2.43M,2.33M,2.24M,2.22M,2.26M,2.37M,2.5M,2.64M,2.7M,2.68M,2.43M,2.43M,2.62M,2.62M,2.64M,2.23M,2.33M,1.87M,2.68M,3.91M,5.01M,5.76M,8.1M,9.99M,10.7M,11.5M,11.9M,10.2M,11.8M,12.9M,14.7M,16.8M,17.4M,16.8M,16.1M,15.7M,14.6M,12.9M
Brazil,69.7k,111k,151k,173k,332k,362k,417k,519k,683k,748k,874k,785k,1.12M,1.52M,1.76M,2.21M,2.58M,2.88M,2.9M,2.97M,2.7M,2.81M,3.19M,3.73M,4.07M,4.5M,4.91M,5.35M,5.6M,6.58M,6.63M,6.77M,8.18M,8.89M,9.77M,9.67M,9.87M,9.94M,12.4M,10.6M,12.9M,14.8M,17.1M,18.9M,20.1M,20.5M,20.7M,23.4M,21.6M,22.2M
Brunei,184k,182k,373k,1.63M,3.54M,4.64M,6.12M,7.03M,6.89M,7.22M,7.24M,7.01M,7M,7.3M,7.39M,7.21M,7.22M,7.21M,7.49M,7.34M,7.48M,7.6M,8.18M,8.66M,8.71M,9.86M,9.77M,9.78M,9.03M,9.41M,9.47M,9.55M,9.61M,10.4M,10.3M,10.1M,10.5M,10.3M,10.2M,9.57M,10.3M,10.7M,10.5M,10.2M,10.9M,11.4M,11.1M,11.1M,10.8M,11.2M
Canada,46.4M,50.8M,57.3M,61.4M,60.2M,61.4M,62M,65.1M,62.8M,66.3M,61.2M,59.2M,62.1M,58.4M,64M,69.2M,64.9M,70.4M,81.3M,86.4M,88.9M,93.6M,103M,114M,123M,131M,132M,137M,142M,147M,152M,154M,155M,151M,152M,154M,154M,150M,143M,133M,129M,130M,129M,131M,137M,138M,148M,151M,154M,149M
China,2.49M,3.24M,4.19M,5.18M,6.53M,7.67M,8.75M,10.5M,11.9M,12.6M,12.4M,11M,10.3M,10.6M,10.8M,11.2M,11.9M,12M,12.4M,13M,13.3M,13.4M,13.7M,14.5M,15.2M,15.6M,17.4M,19.7M,20.2M,21.8M,23.6M,26.3M,28.3M,30.3M,35.9M,42.7M,50.7M,60M,69.6M,73.9M,83M,91.3M,95.9M,105M,113M,117M,119M,128M,139M,153M
Colombia,1.07M,1.12M,1.37M,1.42M,1.47M,1.28M,1.3M,1.48M,1.96M,2.24M,2.39M,2.62M,2.8M,3.07M,3.12M,3.19M,3.11M,3.27M,3.16M,3.19M,3.37M,3.34M,3.42M,3.35M,3.46M,3.62M,3.91M,4.88M,5.58M,4.9M,4.93M,5.11M,5.16M,4.94M,5.27M,5.54M,5.82M,6.24M,7.5M,8.69M,9.32M,9.07M,9.91M,11.4M,10.6M,9.98M,10.3M,10.6M,11.1M,11.3M
