country,1993,1995,1998,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,,,,,,,,13.5,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,9.6,,
Andorra,,,,,,,,11.3,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,19,,,,,,
Argentina,,,,,,,,,,,,,,,,,,14.6,,
Armenia,,,,,,,,,,,,,,,,,,11.4,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,13,,
Australia,,,,,,,,,,,,,,7.61,,,,,,
Austria,,,,,,,,,,,,,,,,11.1,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,7.87,,
Burundi,,,,,,,,3.5,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,13.9,,,
Benin,,,,,7.3,,,,,,,,,,,,,,,
Burkina Faso,,,,,,,,,,,,,,,,,,,9,
Bangladesh,,,,,,,,,,,,,,,4.67,,,,,
Bulgaria,,,,,,,,,,,,,,,,,12.2,,,
Bahrain,,,,,,,,,,,,,,,,,,,7.4,
Bahamas,,,,,,,,,,,,,,,,,,13,,
Belarus,,,,,,,,,,,,,,,,,,,12,
Belize,,,,,,,,,,,,,,19,,,,,,
Bolivia,,,,,,,,,,,,,10.2,,,,,,,
Brazil,,,,,,,,,,,,,13.5,,,,,,,
Barbados,,,,,,,,,,,,,,,,17.1,,,,
Brunei,,,,,,,,16,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,13,,,,,
Canada,,,,,,,3,,,,,,,,,,,,,
Switzerland,,,,,15,,,,,,,,,,,,,,,
Chile,,,,,,,,,,,,9.4,,,,,,,,
China,,,,,,,,,,,,,,,,,9.8,,,
Cameroon,,,,,,,,,,,3.3,,,,,,,,,
Colombia,,,,,,,,,,,,,,12.8,,,,,,
Comoros,,,,,,5,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,,,,,,,,,11,,,
Cuba,,,,,,,,9.6,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,14.8,,,
Czech Republic,,,,,,,,,,,,,,,2.2,,,,,
Germany,,,,,,,,,13,,,,,,,,,,,
Dominica,,,,,16,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,1.61,,
Dominican Republic,,,,,,,,,,,,,,,,10,,,,
Algeria,,,,,,,,,,,,,,,,,,,16.9,
Ecuador,,,,,,,,,,,,,,,,,11.4,,,
Egypt,,,,,,,,,,,,,,,,13,,,,
Spain,,,,,,,,,,,,,,,9,,,,,
Estonia,,,,,,,,,,,,,,,,18.6,,,,
Ethiopia,,2.3,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,1.45,,,,,,,
Fiji,,,,,,,,,,,,,,7.5,,,,,,
France,,,,,9,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,26.2,,,,,,
United Kingdom,,,,,,,,,,,,,,20.2,,,,,,
Georgia,,,,,,,,,,3,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,4,,
Guinea,,,,,,,,,,4,,,,,,,,,,
Greece,,,,,,,,,14,,,,,,,,,,,
Grenada,,,,,,,,,,,,16.4,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,17.3,,,,
Guyana,,,,,,,,,,,,,14.2,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,21,
Honduras,,,,,,,,,,,,,,,,,,,14.4,
Croatia,,,,,,,,,,,,,,,,22.9,,,,
Haiti,,,,,,,,,,,,,,,,,,,12.7,
Hungary,,,,,,,,,,,,,,,,,,13,,
Indonesia,,,,,,,,,,,,,,,14,,,,,
Ireland,,,,,,,,,,,,,,,12.4,,,,,
Iran,,,,,,,,,,8.5,,,,,,,,,,
Iraq,,,,,,,,,,,,5.29,,,,,,,,
Iceland,,,,,,,,,,,,,,,,9,,,,
Israel,,,,,,,,,,,,,,,18,,,,,
Italy,,,,,,,,,,,,,,,,11.6,,,,
Jamaica,,,,,,,,,,,,,,,,12.2,,,,
Jordan,,,,,,,,,,,,,,,,,16,,,
Japan,,,,,,,,,,,,,,,,,,11,,
Kazakhstan,,,,,,,,,,,,,,,,,,25,,
Kenya,,,18.7,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,8.6,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,16.5,
St. Kitts and Nevis,,,,,23.2,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,,,,,24.3,,,,
Kuwait,,,,,,,,,,,,,,,,,20,,,
Lao,,,,,,,,,,,,,,,,,,6.1,,
Lebanon,,,,,,,,,,,,,,,,,11.5,,,
Libya,,,,,,,,,,,,,7.5,,,,,,,
St. Lucia,,,,,,,,,,,22,,,,,,,,,
Liechtenstein,,,,,,,,,,,,,,,5.4,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,7,,
Lithuania,,,,,,,,,,,,,10.2,,,,,,,
Luxembourg,,,,,,,,,,,,,,,,,18,,,
Latvia,,,,,,,,,,,,,,7.7,,,,,,
Morocco,,,,,,,,,,,,,,,,,8,,,
Monaco,,,,,,,,,,,,,,,1,,,,,
Moldova,,,,,,,,,,,,,,,,,10,,,
Maldives,,,,,,,,,,,,,,,,,,,3,
Mexico,,,,,,,,,,,,,,,10.9,,,,,
Marshall Islands,,,,,,,,,,,,,,,13,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,13.9,,
Mali,,2,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,12,,,,,
Montenegro,,,,,,,,,,,,,,,,18.4,,,,
Mongolia,,,,,,,,,,,,,,,,,,,14.5,
Mauritania,,,,,,,,,,,,20,,,,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,12.4,
Malaysia,,,,,,,,,,,,,,,,,15,,,
Niger,,,,,,,,2,,,,,,,,,,,,
Nigeria,,,,4.8,,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,14,,,,
Norway,,,,,,,,,,,,,2.25,,,,,,,
Nepal,,,,,,,,,,,,,,,,,,,,15.1
Nauru,,,,,,,,,,,,,,,,,,,16.5,
New Zealand,,,,,,,,,,,8,,,,,,,,,
Oman,,,,,,,,,,,,,,,,21,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,9
Panama,,,,,12,,,,,,,,,,,,,,,
Peru,,,,,,,,,,,,,,,,10.5,,,,
Philippines,,,,,,,,,,,,,,,,10.6,,,,
Palau,,,,,,,,,,,,,,,,,32,,,
Papua New Guinea,,,,,,,,,,,,,,,,,10,,,
Poland,,,,,,,,,,,,,12.1,,,,,,,
Portugal,,,,,,,,,,,,,,,,,,10.7,,
Palestine,,,,,,,,,,,,,,,14.2,,,,,
Qatar,,,,,,,,,,,,,,,,,,,14,
Romania,,,,,,,,,,,,,,,,,12.3,,,
Russia,,,,,,,,,,,,,,,,14.2,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,11,,
Sudan,,,,,,,,,,,,,,12.7,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,9,
Singapore,,,,,,,,,,,,,,,,,,,,10.6
Solomon Islands,,,,,,,,,,,,,,22.4,,,,,,
El Salvador,,,,,,,,,,,,,,10,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,5.6,
Serbia,,,,,,,,,,,,,,,12.7,,,,,
Suriname,,,,,11,,,,,,,,,,,,,,,
Slovak Republic,,,,,,,,,,,,,,,,11,,,,
Sweden,,,,,,,,,,,,,,,,,6.58,,,
Seychelles,,,,,,9.9,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,7,,,,,,,
Chad,,,,,,,,,6,,,,,,,,,,,
Togo,,,,,,,,,,,,,,,10,,,,,
Thailand,,,,,,,,,,,,,,,17.6,,,,,
Turkmenistan,,,,2.19,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,16.5,,,
Tonga,,,,,,,,,,,,,,,13.4,,,,,
Trinidad and Tobago,,,,,,,,,,,,,19.2,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,11,,,
Turkey,3,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,16.5,
Taiwan,,,,,20.2,,,,,,,,,,,,,,,
Uganda,,,,,,,,,7.6,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,7,,,,,,
Uruguay,,,,,,11,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,12.9,,,
Uzbekistan,,,,,,,,,2.5,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,8.4,,,,,,,,,,,,,,,
