country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Aruba,1200,1200,1200,1200,1100,1100,1100,1100,1200,1200,1300,1300,1400,1400,1500,1500,1600,1600,1700,1700,1700,1700
Afghanistan,2.16M,2.21M,2.29M,2.4M,2.51M,2.61M,2.72M,2.81M,2.88M,2.97M,3.04M,3.07M,3.11M,3.15M,3.19M,3.23M,3.26M,3.29M,3.32M,3.36M,3.4M,3.4M
Angola,3.19M,3.28M,3.38M,3.67M,3.75M,3.78M,3.84M,3.93M,4.05M,4.17M,4.26M,4.34M,4.42M,4.5M,4.58M,4.67M,4.75M,4.84M,4.92M,5.01M,5.11M,5.2M
Albania,2.08M,2.56M,2.56M,595k,409k,409k,409k,409k,27.7k,230k,447k,265k,305k,296k,296k,296k,296k,430k,430k,430k,430k,430k
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,11.6k,12.1k,12.5k,12.9k,12.3k,12.7k,13.2k,13.5k,14.9k,15.3k,15.7k,15.9k,16.2k,16.4k,16.7k,17k,17.2k,17.4k,17.6k,17.8k,18k,18k
Argentina,10.2M,10.4M,11.7M,10.3M,10.8M,11.6M,11.5M,11.5M,12.3M,9.86M,10.7M,9.54M,11.5M,13M,15M,14.3M,14M,13.7M,13.1M,14.1M,15M,15.2M
Armenia,,,,,,,,62.2k,,,72.2k,62.2k,68.9k,75.6k,75k,54.1k,60.3k,45.2k,38.6k,51.4k,38.5k,35.2k
Australia,20.8M,20.4M,20.7M,21.9M,23.3M,24.3M,24.4M,27M,28.1M,27.7M,31.2M,31.1M,29.7M,31.6M,31.9M,31.9M,31.8M,32.3M,33.3M,30.3M,30.4M,31.3M
Austria,15.7M,11.5M,12.2M,12.3M,14.4M,13.8M,15M,14.7M,14M,14.1M,13.3M,13.5M,14.8M,17.1M,16.5M,16.5M,19.1M,21.3M,21.8M,16.7M,17.8M,18.7M
Azerbaijan,,,,,,,,,12.6k,12.6k,13.5k,13.5k,52.8k,6500,6500,6500,6500,6500,6500,6500,6500,6500
Burundi,6.46M,6.53M,6.61M,6.8M,7.09M,7.37M,7.71M,7.89M,8.08M,5.94M,6.19M,8.72M,8.86M,9.09M,9.24M,9.42M,9.56M,9.71M,9.85M,9.99M,10.7M,10.9M
