country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Argentina,11.7,10.7,10,10.4,10.4,9.66,10.5,10.4,10.2,9.43,9.36,10.2,11.1,11.7,12.4,11.7,12.2,13.2,13.7,13.2,12.9,12.2,12.2,12.5,12.8,13,
Australia,18.3,18.6,18.7,19.2,19.7,20.2,20,20.4,20.3,20.4,20.3,21,21.9,22.4,22.7,22.8,23.5,24.3,25.1,25.8,25.4,26.4,27.1,27.5,27.7,27.7,27.9
Austria,17.2,17.2,17.8,18.6,18.7,19.3,19.5,19.8,20.4,21.1,21.7,22.1,22.3,22.5,23.4,24.8,25,26.9,27.7,28.7,29.7,29.8,30.2,30.2,31.2,31.1,31.8
Belgium,21.7,22.2,23,23.2,23.5,23.5,23.9,24.5,25.2,25.9,26.2,27.2,27.9,28.5,29.5,29.2,30,30.6,30.6,31.3,31.9,31.7,32.2,32.6,33.8,33.5,34
Bulgaria,,,,,,,,,,8.02,7.78,8.32,8.6,8.61,8.14,8.24,7.41,7.24,7.54,7.84,7.88,8.2,8.56,8.78,9,9.34,9.65
Brazil,7.63,7.08,6.81,6.59,6.68,6.64,7.2,7.26,7.07,7.17,6.76,6.79,6.75,7.05,7.39,7.62,8.03,8.26,8.21,8.16,8.05,8.25,8.16,8.09,8.05,7.99,
Barbados,,,,,,,,,,,,12.2,12.1,12.1,11.4,11.1,10.7,10.9,11.2,10.9,10.7,10.2,10.5,10.6,10.9,11.1,
Canada,19.7,20,20.2,20.6,21.2,21.6,21.5,21.8,21.8,21.6,21.8,22.1,22.9,23,23.4,23.8,23.8,24.2,24.9,25.4,25.9,26.5,26.9,26.9,27.1,27.7,27.9
Switzerland,21.2,21.3,21,21.3,21.9,22.3,22.3,21.9,22,22.6,22.8,22.3,22.6,22.7,22.9,23.3,23.5,24.1,24.4,24.2,24.9,25.3,25.5,25.4,25.9,26.4,26.6
Chile,10.8,11.2,9.68,9.01,9.13,8.4,8.47,8.69,8.95,9.54,9.57,9.96,10.8,11.3,11.7,12.9,13.6,14.3,14.5,14.2,14.6,14.4,14.4,14.6,15.2,15.6,
Colombia,6,6.04,6.13,6.3,6.57,6.87,7.14,7.32,7.51,7.73,7.29,6.88,7.17,7.16,7.08,7.85,7.73,8.16,8.13,7.58,7.56,7.35,7.51,7.35,7.57,7.66,
Cyprus,,,,,,,,11.9,13,13.6,14.4,14.2,15,14.7,15.6,17.1,17.2,17.6,18.1,18.3,18.8,17.8,18,17.9,18.1,18.3,18.7
