country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,29.6M,35.9M,28.4M,27.7M,25.4M,26.6M,25.3M,22.8M,17.9M,16.4M,12.2M,18.5M,21M,23.3M,25.1M,28M,26.7M,30.4M,27.4M,34.5M,38.7M,38.4M,40.7M,39.8M,40.8M,41.6M,42.5M,43.4M
Angola,22.6M,32.6M,32.8M,28.7M,30.1M,25.3M,25M,27.8M,31.8M,29.3M,34M,41.5M,42.9M,48.2M,51.5M,57.7M,56.2M,69.6M,78.1M,95.7M,85.9M,87.8M,80.1M,101M,91M,93.8M,96.7M,99.7M
Albania,19.5M,24M,12.4M,11.1M,10.8M,10.9M,13.2M,12.5M,13.5M,14.7M,17.3M,19.1M,19.2M,23.3M,25.9M,28.3M,27.9M,26.9M,27.9M,31.9M,26M,27.2M,27.7M,28.2M,30.6M,31.5M,32.4M,33.4M
United Arab Emirates,28.6M,45M,69.4M,117M,152M,149M,168M,174M,161M,181M,190M,160M,178M,176M,226M,250M,271M,331M,340M,309M,329M,375M,381M,419M,428M,440M,453M,466M
Argentina,313M,377M,399M,407M,438M,428M,435M,473M,520M,514M,492M,469M,322M,356M,386M,433M,434M,485M,487M,464M,520M,552M,538M,591M,606M,620M,635M,649M
Armenia,13.9M,21.4M,11.6M,8.93M,7.54M,9.01M,9.7M,8.51M,9.92M,9.39M,7.47M,8.43M,8.91M,10.2M,12M,13.3M,14.4M,17.2M,19.5M,19.2M,18.5M,18.7M,19.7M,20.8M,21.5M,22.2M,23.1M,23.9M
Antigua and Barbuda,1.21M,6.74M,1.63M,1.63M,1.7M,1.66M,1.69M,1.73M,1.59M,1.62M,1.76M,1.62M,1.74M,1.73M,1.75M,2.01M,2.48M,2.25M,1.7M,1.2M,1.19M,1.28M,1.2M,1.22M,1.24M,1.25M,1.27M,1.28M
Australia,689M,707M,649M,628M,627M,694M,718M,739M,786M,788M,760M,773M,784M,847M,846M,872M,798M,957M,806M,939M,904M,923M,951M,958M,995M,1.02B,1.04B,1.06B
Austria,152M,166M,182M,176M,189M,190M,187M,189M,201M,198M,198M,198M,201M,217M,235M,243M,251M,261M,268M,255M,253M,263M,263M,265M,272M,277M,282M,287M
Azerbaijan,9.05M,19.6M,73.4M,65.4M,46.2M,35.6M,32.8M,25.7M,23.6M,22.8M,20.7M,21.9M,25.2M,29.4M,31.1M,30M,30.2M,33.3M,34M,43.7M,42.9M,46.2M,47.3M,55.1M,55.2M,57M,59.3M,61.5M
Burundi,11.9M,18.7M,12.6M,12.6M,11.9M,12.4M,11.8M,11.4M,11.4M,10.2M,10.1M,11.8M,12.5M,12.7M,12.9M,14.2M,14.4M,14.2M,13.6M,15.3M,15.9M,16M,13.8M,17.1M,16.4M,16.7M,16.9M,17.2M
Belgium,153M,167M,203M,197M,208M,207M,207M,200M,216M,222M,239M,223M,228M,235M,247M,253M,258M,268M,276M,259M,250M,245M,250M,255M,260M,264M,270M,275M
Benin,14.9M,22M,16.7M,18.7M,15.7M,18.3M,16.9M,17.8M,15.9M,18.2M,18.2M,22.4M,21.6M,23.8M,24.1M,24.8M,30.5M,32.4M,34.5M,36.9M,36.7M,39.1M,40.6M,43.2M,45.2M,46.5M,47.9M,49.3M
Burkina Faso,23.6M,46.1M,26.2M,25.8M,23.9M,24.3M,24.9M,23M,25.7M,23.6M,21.3M,23.5M,23.3M,30.5M,31.4M,37M,39.3M,39.3M,46.5M,47.2M,53.2M,55M,60M,64.5M,66.3M,69.2M,72.5M,75.8M
Bangladesh,161M,181M,163M,167M,176M,186M,195M,196M,215M,220M,228M,236M,242M,239M,233M,259M,254M,260M,270M,284M,305M,316M,327M,349M,357M,367M,378M,389M
Bulgaria,89.7M,52.5M,59.8M,65.8M,60.5M,60.9M,43.8M,35.8M,36.5M,39.6M,36.8M,42.6M,44M,51.7M,64.5M,70.1M,83.7M,89.2M,97.9M,86.4M,79.6M,84.8M,81.5M,80.1M,83M,86.6M,88.7M,90.8M
Bahrain,17.1M,25.3M,19.6M,18.3M,18.5M,16.5M,16.6M,16.8M,16.4M,16.3M,13.9M,14.2M,15.4M,14M,14.5M,16.2M,15.1M,15.5M,17M,18.8M,18M,17.5M,17.8M,19.1M,19.7M,20.2M,20.8M,21.5M
Bahamas,10.6M,16.4M,9.65M,9.93M,10.1M,10.1M,9.89M,10.8M,10.4M,10.8M,11.7M,9.31M,9.37M,8.31M,8.28M,9.61M,9.66M,8.33M,7.48M,7.36M,8.03M,7.34M,7.45M,7.76M,8.18M,8.11M,8.05M,7.99M
Bosnia and Herzegovina,24.1M,28.1M,32.3M,28.1M,14.9M,13.4M,11.7M,16.2M,18.1M,18M,17.7M,20.9M,23.6M,28.9M,30.3M,31.1M,33.4M,34.6M,36.6M,34.1M,30.9M,31.9M,30.6M,31.8M,32.1M,33.5M,34.6M,35.7M
Belarus,102k,2.63M,2.2M,556k,438k,1.14M,1.65M,2.09M,336k,306k,699k,335k,779k,313k,310k,400k,463k,434k,395k,350k,1.58M,678k,681k,3.62M,3.7M,3.81M,3.92M,4.04M
Belize,1.65M,6.52M,2.15M,2.14M,2.21M,1.95M,2.18M,2.17M,2.09M,2.17M,2.63M,3.28M,2.92M,3.24M,2.79M,2.47M,2.59M,2.81M,3.04M,2.57M,2.42M,2.57M,2.65M,2.75M,2.83M,2.86M,2.89M,2.92M
Bolivia,39.8M,47.6M,38.8M,41.2M,39M,38M,35.9M,35.3M,38.3M,39.9M,37.9M,36.2M,39.5M,38.8M,36.5M,36.9M,38M,39.8M,42.1M,47.9M,43.7M,45.1M,50.1M,54.7M,56.1M,57.8M,59.4M,61.1M
Brazil,1.5B,1.48B,1.44B,1.43B,1.59B,1.83B,1.75B,1.77B,1.93B,1.77B,1.92B,1.88B,1.88B,1.88B,1.94B,2.07B,2.22B,2.45B,2.68B,2.81B,3.1B,3.2B,3.16B,3.29B,3.3B,3.42B,3.53B,3.64B
Barbados,5.71M,11.4M,5.59M,5.2M,5.33M,5.35M,5.84M,5.88M,5.87M,5.7M,5.59M,4.82M,4.83M,4.29M,4.44M,5.55M,5.53M,3.96M,4.75M,4.42M,3.02M,3.27M,3.24M,3.14M,3.16M,3.15M,3.16M,3.16M
Brunei,5.21M,11.5M,5.59M,5.77M,5.76M,6.56M,6.47M,6.73M,5.49M,4.83M,4.42M,4.48M,4.63M,4.93M,5.37M,5.35M,5.41M,6.81M,6.42M,7.39M,7.2M,8.05M,8.11M,8.12M,8.14M,8.27M,8.42M,8.57M
Bhutan,3.92M,10.4M,4.58M,3.79M,3.66M,3.5M,3.65M,3.9M,3.52M,3.55M,2.89M,3.69M,4.28M,4.42M,4.81M,5.03M,4.74M,5.3M,5.29M,5.58M,6.6M,7.17M,7.24M,7.55M,7.72M,7.92M,8.15M,8.38M
