country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Angola,,,,,,,,,,,,389M,440M,517M,646M,686M,308M,308M,308M,330M,354M,354M,378M,410M,351M,422M,422M,425M,428M,430M,432M,435M,437M,439M,441M,443M,474M,664M,725M,735M,795M,902M,971M,1.1B,1.23B,1.45B,1.63B,1.83B,2.2B
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714M,529M,583M,759M,780M,883M,1.18B,1.1B,1.5B,2.22B,2.46B,2.4B,3.07B,3.01B,2.79B,2.73B,1.98B,2.07B,2.3B
United Arab Emirates,,,,,,,,,,,,89M,205M,317M,414M,602M,854M,1.3B,1.66B,2.2B,2.77B,3.18B,3.92B,4.46B,4.84B,5.28B,5.64B,6.01B,6.53B,6.71B,7.17B,7.29B,7.85B,9.13B,9.97B,10.6B,11.2B,11.7B,12.3B,12.9B,13.5B,14.1B,14.7B,16.5B,17.5B,18.9B,21.4B,24.7B,29.9B
Argentina,,,,,,,,,,,,5.28B,5.59B,5.87B,6.09B,6.66B,7.45B,7.63B,8.01B,8.48B,8.86B,8.96B,8.64B,9.02B,9.58B,9.75B,10.5B,11.8B,11.1B,10.6B,11.1B,12B,13.4B,14.7B,15.9B,17.1B,17.6B,18.5B,19.2B,20.6B,21.4B,21.9B,21.3B,21.6B,22.5B,24.3B,26.1B,28.6B,31.3B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05B,2.4B,2.42B,1.36B,970M,641M,1.08B,2.43B,1.76B,1.62B,1.56B,1.48B,1.5B,1.6B,1.64B,1.72B,1.71B,1.77B,1.79B
Australia,6.77B,7.55B,8.05B,8.79B,9.59B,10.3B,11.2B,12.2B,13.1B,14.3B,15.3B,16.6B,17.9B,18.7B,19.8B,22.1B,23.2B,25.3B,26.5B,28.2B,29B,30.5B,32B,32.3B,33.3B,32.6B,34.5B,35.6B,36.2B,36.6B,38.5B,39.3B,39.3B,40.6B,40.6B,42.2B,43.2B,44.8B,46.2B,47.3B,48.8B,49.6B,51.3B,50.9B,53.3B,55.4B,56.1B,56.3B,58.2B
Austria,1.73B,1.89B,2.14B,2.35B,2.6B,2.83B,3.04B,3.32B,3.63B,3.98B,4.42B,4.89B,5.5B,6.07B,6.4B,6.79B,7.38B,7.67B,8.15B,8.39B,8.77B,7.43B,7.33B,7.5B,7.84B,8.32B,8.44B,11B,11.3B,11.5B,11.9B,12.6B,12.8B,13.1B,13B,13.6B,14.2B,13.9B,13.9B,14.1B,14.2B,15.3B,15.8B,16.9B,16.8B,17.1B,17B,16.8B,17B
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7B,,,,360M,7.91B,9.87B,11.3B,10.2B,10.4B,12.1B,11.9B,11.3B,13.8B,8.34B,7.45B
Belgium,1.5B,1.71B,2B,2.26B,2.52B,2.88B,3.2B,3.49B,3.92B,4.41B,4.92B,5.44B,6.12B,7.6B,8.33B,9.28B,10.2B,11.1B,12B,12.7B,13.1B,13.5B,13.7B,14.2B,14.7B,15.5B,16B,16.9B,17.1B,17.7B,18.4B,19.9B,20.3B,21.1B,21.4B,22.1B,23.2B,22.9B,23.4B,23.5B,23.7B,24.4B,25.9B,26B,26.6B,26B,22.7B,21.9B,20B
Benin,,,,,,,,,,,,5M,6M,7M,8M,8M,9M,6M,83M,41M,47M,55M,31M,67M,61M,67M,69M,77M,81M,82M,82M,82M,81M,99M,110M,119M,84M,103M,105M,156M,161M,173M,236M,206M,225M,282M,289M,302M,317M
Bangladesh,,,,,,,,,,,,131M,131M,136M,179M,155M,135M,147M,210M,228M,228M,297M,359M,463M,544M,657M,743M,852M,924M,1.1B,1.22B,1.43B,1.96B,2.31B,2.53B,2.81B,3.54B,3.7B,3.97B,4.44B,5.5B,6.19B,6.78B,7.26B,8.01B,8.53B,9.31B,9.41B,10.5B
Bulgaria,,,,,,,,,,,,2.83B,3.23B,3.65B,4.11B,4.59B,5.19B,5.53B,5.84B,6.51B,6.84B,7B,8B,8.5B,9.45B,9.55B,8.69B,9.45B,9.94B,10.2B,10.5B,10.4B,10B,10B,9.81B,11B,11.5B,9.88B,10.5B,10.1B,9.86B,9.75B,9.31B,9.31B,8.77B,9.05B,9.31B,9.38B,10B
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,1.14B,1.37B,1.5B,1.56B,1.64B,1.71B,1.81B,1.7B,1.99B,2.17B,2.33B,2.44B,2.65B,2.67B,2.98B,3.09B,3.08B,3.26B,3.53B,3.74B,3.94B,4.31B,5.1B,5.99B,5.25B
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02B,2.75B,2.46B,1.99B,2.41B,2.53B,2.66B,3.19B,3.73B,3.87B,3.66B,3.73B,3.78B,3.87B,3.86B,4.08B,4.12B,4.11B,4.26B
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49B,4.76B,4.4B,4.5B,4.59B,4.87B,5.08B,5.35B,5.58B,5.83B,5.57B,5.58B,5.78B,6.06B,6.05B,5.96B,5.74B,6.01B,6.33B
