country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,982M,1.14B,1.35B,1.52B,1.58B,1.7B,1.8B,1.93B,2.09B,2.15B,2.17B,2.32B,2.37B,2.4B,2.58B,2.51B,2.42B,2.47B,2.67B,2.7B,2.73B,2.78B,2.77B,2.48B,2.39B,2.47B,2.44B,2.54B,2.55B,2.69B,2.75B,2.81B,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47B,8.12B,8.24B,9.16B,9.66B,11B,11.4B,13.9B,15.9B,15.9B,18B,19B,19.5B,19.8B,20.2B,20.7B,21.1B,21.7B
Angola,,,,,,,,,,,,,,,,,,,,,26.5B,25.4B,25.4B,26.4B,28B,29B,29.8B,31B,32.9B,33B,31.8B,32.1B,30.3B,23B,23.3B,26.8B,30.4B,32.7B,34.2B,34.9B,36B,37.5B,42.6B,43.9B,48.7B,56B,62.5B,71.3B,79.2B,79.9B,83.8B,86.7B,94.1B,98.8B,104B,105B,102B,102B,99.6B,98.8B
Albania,,,,,,,,,,,,,,,,,,,,,5.32B,5.63B,5.8B,5.86B,5.79B,5.89B,6.22B,6.17B,6.08B,6.68B,6.04B,4.35B,4.04B,4.42B,4.79B,5.43B,5.92B,5.28B,5.74B,6.48B,6.93B,7.51B,7.85B,8.28B,8.74B,9.22B,9.77B,10.4B,11.1B,11.5B,11.9B,12.2B,12.4B,12.5B,12.8B,13B,13.5B,14B,14.5B,14.9B
Andorra,,,,,,,,,,,1.01B,1.06B,1.15B,1.23B,1.3B,1.31B,1.35B,1.39B,1.41B,1.41B,1.45B,1.44B,1.46B,1.49B,1.51B,1.55B,1.6B,1.69B,1.77B,1.86B,1.93B,1.98B,2B,1.98B,2.02B,2.08B,2.18B,2.37B,2.45B,2.55B,2.64B,2.85B,2.98B,3.24B,3.51B,3.7B,3.88B,3.94B,3.72B,3.52B,3.45B,3.45B,3.28B,3.16B,3.24B,3.29B,3.41B,3.42B,3.48B,3.54B
United Arab Emirates,,,,,,,,,,,,,,,,56.8B,66.2B,80.4B,79.1B,95.7B,119B,124B,116B,110B,115B,111B,94B,97.2B,94.6B,106B,126B,127B,131B,133B,142B,151B,160B,173B,174B,179B,198B,201B,206B,224B,245B,257B,283B,292B,301B,285B,290B,310B,324B,340B,355B,373B,384B,393B,398B,405B
Argentina,116B,122B,121B,114B,126B,139B,138B,143B,150B,164B,169B,179B,182B,187B,197B,197B,193B,206B,197B,217B,221B,209B,208B,217B,220B,209B,221B,227B,225B,209B,204B,222B,240B,260B,275B,267B,282B,305B,316B,306B,303B,290B,258B,281B,306B,334B,360B,393B,409B,385B,424B,449B,444B,455B,444B,456B,446B,458B,447B,437B
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35B,5.61B,3.26B,2.98B,3.14B,3.35B,3.55B,3.67B,3.94B,4.07B,4.31B,4.72B,5.34B,6.09B,6.73B,7.67B,8.68B,9.87B,10.5B,9.06B,9.26B,9.7B,10.4B,10.7B,11.1B,11.5B,11.5B,12.4B,13B,14B
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623M,628M,632M,629M,603M,615M,599M,573M,576M,578M,552M,537M,542M,550M,535M,503M,514M,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,323M,337M,364M,394M,409M,409M,431M,475M,511M,570M,607M,639M,673M,693M,708M,716M,754M,804M,769M,820M,865M,906M,939M,1B,953M,962M,1.02B,1.08B,1.15B,1.29B,1.41B,1.41B,1.24B,1.15B,1.13B,1.16B,1.16B,1.2B,1.25B,1.32B,1.36B,1.46B,1.53B
